symbol,company,industry,exchange,trading_volume_and_chartered_capital
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu,Khách sạn và phòng ở,UPCoM,18644500
VTH,CTCP Dây cáp Điện Việt Thái,"Sản xuất trang thiết bị, dụng cụ điện",HNX,7899989
VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may,"Sản xuất sợi, vải",UPCoM,3500000
VTJ,CTCP Thương mại và Đầu tư VI NA TA BA,Phát triển bất động sản,HNX,11400000
VTK,CTCP Tư Vấn Và Dịch Vụ Viettel,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,9383230
VTL,CTCP Vang Thăng Long,Sản xuất đồ uống và thuốc lá,UPCoM,10119984
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,UPCoM,3279797
VTO,CTCP Vận tải Xăng dầu Vitaco,Vận tải đường thủy,HOSE,79866666
VTP,Tổng Công ty cổ phần Bưu chính Viettel,Hỗ trợ vận tải,UPCoM,121783042
VTQ,CTCP Việt Trung Quảng Bình,"Sản xuất hóa chất, dược phẩm",UPCoM,17081791
VTR,CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,Dịch vụ hành chính và hỗ trợ,UPCoM,29294833
VTS,CTCP Viglacera Từ Sơn,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,2000205
VTV,CTCP Năng lượng và Môi trường VICEM,Bán buôn hàng lâu bền,HNX,31199825
VTX,CTCP Vận tải Đa Phương Thức Vietranstimex,Hỗ trợ vận tải,UPCoM,20972321
VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,Sản xuất các sản phẩm nhựa và cao su,HNX,43000000
VUA,CTCP Chứng khoán Stanley Brothers,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,33900000
VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam,Xây dựng công nghiệp nặng và dân dụng,UPCoM,55000000
VVS,CTCP Đầu tư phát triển máy Việt Nam,Bán buôn hàng lâu bền,UPCoM,20500000
VW3,CTCP Viwaseen3,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2000000
VWS,CTCP Nước và Môi Trường Việt Nam,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,3600000
VXB,CTCP Vật liệu Xây dựng Bến Tre,"Xây dựng nhà cửa, cao ốc",UPCoM,4049006
VXP,CTCP Thuốc Thú y Trung ương VETVACO,"Sản xuất hóa chất, dược phẩm",UPCoM,3600000
VXT,CTCP Kho vận và Dịch vụ Thương mại,Bán buôn hàng tiêu dùng,UPCoM,6011932
WCS,CTCP Bến xe Miền Tây,Hỗ trợ vận tải,HNX,2500000
WSB,CTCP Bia Sài Gòn - Miền Tây,Sản xuất đồ uống và thuốc lá,UPCoM,14500000
WSS,CTCP Chứng khoán Phố Wall,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,50300000
WTC,CTCP Vận tải Thủy - Vinacomin,Vận tải đường thủy,UPCoM,10000000
X20,CTCP X20,Sản xuất các sản phẩm may mặc,HNX,17250000
X26,CTCP 26,Sản xuất các sản phẩm may mặc,UPCoM,5000000
X77,CTCP Thành An 77,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,1340877
XDC,CTCP Xây Dựng Công Trình Tân Cảng,Xây dựng công nghiệp nặng và dân dụng,UPCoM,8200
XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội,Phát triển bất động sản,UPCoM,27026907
XHC,CTCP Xuân Hòa Việt Nam,Sản xuất các sản phẩm gỗ,UPCoM,21096500
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà,Xây dựng công nghiệp nặng và dân dụng,UPCoM,3000000
